time,ms,equity,cash,open
2026-09-23 01:35:33,1790120133276,100.0,100.0,0
2026-09-23 01:45:44,1790120744875,99.6654,95.0,1
2026-09-23 01:55:44,1790121344925,99.6654,95.0,1
2026-09-23 02:05:44,1790121944906,99.6654,95.0,1
2026-09-23 02:15:44,1790122544978,99.6654,95.0,1
2026-09-23 02:25:44,1790123144902,99.6654,95.0,1
2026-09-23 02:35:44,1790123744927,99.6654,95.0,1
2026-09-23 02:45:44,1790124344880,99.6654,95.0,1
2026-09-23 02:55:44,1790124944992,99.6654,95.0,1
2026-09-23 03:05:45,1790125545022,99.6654,95.0,1
2026-09-23 03:15:45,1790126145393,99.4082,90.0167,2
2026-09-23 03:25:45,1790126745116,99.4082,90.0167,2
2026-09-23 03:35:45,1790127345573,99.171,85.0463,3
2026-09-23 03:45:45,1790127945536,98.0166,80.0878,4
2026-09-23 03:55:45,1790128545570,97.0839,80.0878,4
2026-09-23 04:05:45,1790129145611,98.0179,80.0878,4
2026-09-23 04:15:45,1790129745595,96.8086,80.0878,4
2026-09-23 04:25:45,1790130345840,97.2128,75.2473,5
2026-09-23 04:35:45,1790130945804,96.1133,75.2473,5
2026-09-23 04:45:45,1790131545931,94.642,75.2473,5
2026-09-23 04:55:45,1790132145802,97.5724,75.2473,5
2026-09-23 05:05:45,1790132745759,97.3828,70.3687,6
2026-09-23 05:15:45,1790133345624,97.6508,70.3687,6
2026-09-23 05:25:45,1790133945633,97.1169,70.3687,6
2026-09-23 05:35:45,1790134545816,97.5808,70.3687,6
2026-09-23 05:45:45,1790135145693,97.4798,70.3687,6
2026-09-23 05:55:45,1790135745699,97.3813,70.3687,6
2026-09-23 06:05:45,1790136345873,97.5397,70.3687,6
2026-09-23 14:55:04,1790168104601,96.7471,60.6196,8
2026-09-23 15:05:02,1790168702658,96.8699,55.7823,9
2026-09-23 15:15:02,1790169302847,96.5832,50.9388,10
2026-09-23 15:25:04,1790169904111,95.5399,41.2875,12
2026-09-23 15:35:03,1790170503535,95.6894,41.2875,12
2026-09-23 15:45:03,1790171103556,94.8005,41.2875,12
2026-09-23 15:55:04,1790171704430,94.5338,41.2875,12
2026-09-23 16:05:03,1790172303515,94.8096,41.2875,12
2026-09-23 16:15:04,1790172904596,95.2541,41.2875,12
2026-09-23 16:25:04,1790173504309,93.8318,41.2875,12
2026-09-23 16:35:03,1790174103476,93.5207,41.2875,12
2026-09-23 16:45:03,1790174703615,93.5244,41.2875,12
2026-09-23 16:55:04,1790175304000,94.0134,41.2875,12
2026-09-23 17:05:03,1790175903174,92.9466,41.2875,12
2026-09-23 17:15:03,1790176503766,91.089,41.2875,12
2026-09-23 17:25:03,1790177103310,91.0607,41.2875,12
2026-09-23 17:35:03,1790177703231,90.5762,41.2875,12
2026-09-23 17:45:03,1790178303646,90.5762,41.2875,12
2026-09-23 17:55:03,1790178903299,90.5762,41.2875,12
2026-09-23 18:05:03,1790179503177,90.5762,41.2875,12
2026-09-23 18:15:03,1790180103427,90.5762,41.2875,12
2026-09-23 18:25:03,1790180703488,90.5762,41.2875,12
2026-09-23 18:35:03,1790181303249,90.5762,41.2875,12
2026-09-23 18:45:03,1790181903397,90.5762,41.2875,12
2026-09-23 18:55:03,1790182503397,90.5762,41.2875,12
2026-09-23 19:05:03,1790183103407,90.5762,41.2875,12
2026-09-23 19:15:03,1790183703747,90.5762,41.2875,12
2026-09-23 19:25:03,1790184303601,90.5762,41.2875,12
2026-09-23 19:35:03,1790184903496,90.5762,41.2875,12
2026-09-23 19:45:03,1790185503695,90.6559,41.2875,12
2026-09-23 19:55:03,1790186103171,90.6559,41.2875,12
2026-09-23 20:05:03,1790186703404,90.6559,41.2875,12
2026-09-23 20:15:04,1790187304147,90.6559,41.2875,12
2026-09-23 20:25:03,1790187903498,90.6559,41.2875,12
2026-09-23 20:35:03,1790188503328,90.6559,41.2875,12
2026-09-23 20:45:04,1790189104140,90.6559,41.2875,12
2026-09-23 20:55:03,1790189703166,90.6559,41.2875,12
2026-09-23 21:05:03,1790190303322,90.6559,41.2875,12
2026-09-23 21:15:03,1790190903333,90.6559,41.2875,12
2026-09-23 21:25:03,1790191503362,90.6559,41.2875,12
2026-09-23 21:35:03,1790192103226,90.6559,41.2875,12
2026-09-23 21:45:03,1790192703365,90.6559,41.2875,12
2026-09-23 21:55:03,1790193303427,90.6559,41.2875,12
2026-09-23 22:05:04,1790193904111,90.6559,41.2875,12
2026-09-23 22:15:03,1790194503703,90.6559,41.2875,12
2026-09-23 22:25:03,1790195103336,90.6559,41.2875,12
2026-09-23 22:35:03,1790195703979,90.6559,41.2875,12
2026-09-23 22:45:03,1790196303259,90.7731,41.2875,12
2026-09-23 22:55:03,1790196903552,90.7731,41.2875,12
2026-09-23 23:05:03,1790197503355,90.7731,41.2875,12
2026-09-23 23:15:03,1790198103422,90.7731,41.2875,12
2026-09-23 23:25:03,1790198703607,90.7731,41.2875,12
2026-09-23 23:35:03,1790199303457,90.7731,41.2875,12
2026-09-23 23:45:03,1790199903576,90.7731,41.2875,12
2026-09-23 23:55:03,1790200503755,90.7731,41.2875,12
2026-09-24 00:05:38,1790201138382,90.7731,41.2875,12
2026-09-24 00:15:38,1790201738827,90.7731,41.2875,12
2026-09-24 00:25:38,1790202338144,90.688,41.2875,12
2026-09-24 00:35:38,1790202938273,90.6029,41.2875,12
2026-09-24 00:45:38,1790203538686,90.5603,41.2875,12
2026-09-24 00:55:38,1790204138203,90.9434,41.2875,12
2026-09-24 01:05:38,1790204738152,91.5819,41.2875,12
2026-09-24 01:15:38,1790205338550,90.6558,41.2875,12
2026-09-24 01:25:38,1790205938513,94.5091,41.2875,12
2026-09-24 01:35:38,1790206538238,91.5345,41.2875,12
2026-09-24 01:45:38,1790207138671,94.0476,41.2875,12
2026-09-24 01:55:38,1790207738460,94.0296,41.2875,12
2026-09-24 02:05:38,1790208338458,94.6903,41.2875,12
2026-09-24 02:15:38,1790208938613,98.3533,41.2875,12
2026-09-24 02:25:38,1790209538221,98.8523,41.2875,12
2026-09-24 02:35:38,1790210138283,99.5427,41.2875,12
2026-09-24 02:45:38,1790210738850,100.0146,41.2875,12
2026-09-24 02:55:38,1790211338687,100.7807,41.2875,12
2026-09-24 03:05:38,1790211938746,100.2471,41.2875,12
2026-09-24 03:15:38,1790212538447,102.647,41.2875,12
2026-09-24 03:25:38,1790213138233,104.4193,41.2875,12
2026-09-24 03:35:38,1790213738146,105.224,41.2875,12
2026-09-24 03:45:38,1790214338457,105.5923,41.2875,12
2026-09-24 03:55:38,1790214938402,105.8169,41.2875,12
2026-09-24 04:05:38,1790215538271,105.9055,41.2875,12
2026-09-24 04:15:38,1790216138417,105.9055,41.2875,12
2026-09-24 04:25:38,1790216738427,105.9055,41.2875,12
2026-09-24 04:35:38,1790217338349,105.9055,41.2875,12
2026-09-24 04:45:38,1790217938558,105.9055,41.2875,12
2026-09-24 04:55:38,1790218538419,105.9055,41.2875,12
2026-09-24 05:05:38,1790219138498,105.9055,41.2875,12
2026-09-24 05:15:38,1790219738504,105.9055,41.2875,12
2026-09-24 05:25:38,1790220338365,105.9055,41.2875,12
2026-09-24 05:35:38,1790220938183,105.9055,41.2875,12
2026-09-24 05:45:38,1790221538639,105.9055,41.2875,12
2026-09-24 05:55:38,1790222138447,105.9055,41.2875,12
2026-09-24 06:05:38,1790222738333,105.9055,41.2875,12
2026-09-24 06:15:38,1790223338470,105.9055,41.2875,12
2026-09-24 06:25:38,1790223938397,105.9055,41.2875,12
2026-09-24 06:35:38,1790224538365,105.9055,41.2875,12
2026-09-24 06:45:38,1790225138433,105.9055,41.2875,12
2026-09-24 06:55:38,1790225738509,105.9055,41.2875,12
2026-09-24 07:05:38,1790226338534,105.9055,41.2875,12
2026-09-24 07:15:38,1790226938493,105.9055,41.2875,12
2026-09-24 07:25:38,1790227538460,105.9055,41.2875,12
2026-09-24 07:35:38,1790228138611,105.9055,41.2875,12
2026-09-24 07:45:38,1790228738558,105.9055,41.2875,12
2026-09-24 07:55:38,1790229338512,105.9055,41.2875,12
2026-09-24 08:05:38,1790229938477,105.9055,41.2875,12
2026-09-24 08:15:38,1790230538496,105.9055,41.2875,12
2026-09-24 08:25:38,1790231138666,105.9055,41.2875,12
2026-09-24 08:35:38,1790231738450,105.9055,41.2875,12
2026-09-24 08:45:38,1790232338644,105.9055,41.2875,12
2026-09-24 08:55:38,1790232938709,105.9055,41.2875,12
2026-09-24 09:05:38,1790233538415,105.9055,41.2875,12
2026-09-24 09:15:38,1790234138650,105.9055,41.2875,12
2026-09-24 09:25:38,1790234738575,105.9055,41.2875,12
2026-09-24 09:35:38,1790235338604,105.9055,41.2875,12
2026-09-24 09:45:38,1790235938630,105.9055,41.2875,12
2026-09-24 09:55:38,1790236538975,105.9055,41.2875,12
2026-09-24 10:05:38,1790237138527,105.9055,41.2875,12
2026-09-24 10:15:38,1790237738770,105.9055,41.2875,12
2026-09-24 10:25:38,1790238338883,105.9055,41.2875,12
2026-09-24 10:35:38,1790238938741,105.9055,41.2875,12
2026-09-24 10:45:38,1790239538723,105.9055,41.2875,12
2026-09-24 10:55:38,1790240138730,105.9055,41.2875,12
2026-09-24 11:05:38,1790240738790,105.9055,41.2875,12
2026-09-24 11:15:38,1790241338949,105.9055,41.2875,12
2026-09-24 11:25:39,1790241939142,105.9055,41.2875,12
2026-09-24 11:35:38,1790242538669,105.9055,41.2875,12
2026-09-24 11:45:39,1790243139060,105.9055,41.2875,12
2026-09-24 11:55:38,1790243738742,105.9055,41.2875,12
2026-09-24 12:05:38,1790244338923,105.9055,41.2875,12
