time,ms,equity,cash
2026-09-22 08:02,1790056977740,99.4588,20.0
2026-09-22 09:03,1790060588050,99.3954,20.0
2026-09-22 10:03,1790064199769,98.8201,0.0
2026-09-22 11:03,1790067811321,99.6142,0.0
2026-09-22 12:03,1790071422592,99.804,0.0
2026-09-22 13:03,1790075033855,99.8919,0.0
2026-09-22 14:04,1790078645248,100.2425,0.0
2026-09-22 15:04,1790082256615,100.1903,0.0
2026-09-22 16:04,1790085868156,100.2219,0.0
2026-09-22 17:04,1790089479797,100.3665,0.0
2026-09-22 18:04,1790093091171,100.9001,0.0
2026-09-22 19:05,1790096702704,100.8743,0.0
2026-09-22 20:05,1790100312810,100.8048,0.0
2026-09-22 21:05,1790103923312,101.0204,0.0
2026-09-22 22:05,1790107533863,101.0362,0.0
2026-09-22 23:05,1790111143924,101.1049,0.0
2026-09-22 23:36,1790113019857,101.0734,0.0
